10C 8C 9S 6S 3H 3S JD ,    Pair
QC JS KS 10C QH AD 2H ,    High Card
8H QH AH 8D 2D KD 3C ,    High Card
6S AD 3S 5S 3H 2S 3D ,    High Card
6C 7S JD 4C 10S 2C JS ,    High Card
8S 4D KH 6H AS JH QD ,    High Card
2H 5S JH AS AD KD 7D ,    Pair
QH 10H JD 4S 10D 2D KS ,    High Card
6S QC 3H 5H 4D 6C 8S ,    High Card
2H AC 7H 8H 7D 10D 2S ,    High Card
JS 7S 8S 3S 5S KH 6C ,    Flush
2D 6H QC JH 10S QH AH ,    High Card
10C AD 4D QD 3D 9C JD ,    High Card
AD 10C 6S JS JC 5H QC ,    Pair
7C 9C 5C QD QH 3D 4D ,    Pair
4S KS QS 3H KC 9S 7D ,    High Card
7S 10S 6S 9C 8H 3D 6H ,    High Card
QH 2S 7C 9D 3S 4D 10D ,    High Card
AC 6C 8D 7H 3C KS 10C ,    High Card
2C QD AS 8C QC 6D 7D ,    High Card
KS 3D 8C QC 5D 7S AC ,    High Card
3C 2H 10D 2S 6S 3S JD ,    Pair
6D JS 8H 7D 6H 5H 6C ,    High Card
JC 6H 2D 4D 7H 3S 3H ,    High Card
9D QS QH 5H JH QC 4C ,    Pair
7D 10S 4S 5S 3C KS 8C ,    High Card
JD 10H KD 2H 5C 5D 7C ,    Pair
6C 7H 10D 3C 3H KS 4C ,    Pair
8H AD 7S 9H 2H 4D 5H ,    High Card
2S AC 8D QD 10S QH 6S ,    Pair
QC 4S 9D 4C KH 5D 10H ,    High Card
KC 10D 8C JH 2D 10C 4H ,    High Card
2H QD 8S 3S JC 2C QS ,    High Card
AH 7S 9C 3H 7D 5C AC ,    High Card
JD 10H 7D 3C KH 9H 5S ,    High Card
9D 8S 6H KD 3D 8H 2C ,    High Card
AD 6C 3S 10S QD QH KC ,    Pair
7C 8H AH 3S 6C 5D 6D ,    High Card
10H QD 8S JS JC 3C QS ,    Pair
5C 8D JH AS AC 5H 2C ,    Pair
6C 4D KS 10D 6D JD 4S ,    High Card
9D KH 6S 9C 7D 4H 7C ,    High Card
AC KD 10S JD 2C 10H 2D ,    Pair
8H 3S 7D AS 7S 3C QS ,    High Card
5D 7C 4D KC 10D 9H 8D ,    High Card
9H 6D 4S 7H 8H 8C 10H ,    Pair
7C 2S 9D 5D 7S JH KD ,    High Card
5C 5S QC JS 9S 6C 9C ,    Pair
QD 3C 5H 2C 6S AS 7D ,    High Card
QS 10H 6H JH 8C 6D 6S ,    High Card
4C 2S AH 7D 2H 8D 10S ,    High Card
KC QD 10D 9C 3D JS KS ,    High Card
8S 9C 4D 4S 9S 4C 10H ,    Pair
AD 10D 6H 3C JH 6C JD ,    High Card
8H 3D 2S 10S QS 6D 9H ,    High Card
2D 2C 5C QH 2H 7D AC ,    Pair
3S 8S 4H 7C AC AS 4S ,    Pair
8H 9H 3C 6S KD AD 9D ,    High Card
3D KC 6D QD 10D 10H JC ,    High Card
6D JS 6H AH 9S KS QS ,    Pair
6S 7D 9C 10S 2H 9H AD ,    High Card
JH AS 6C KD 8S 7H 4C ,    High Card
2C KH JC 10H 3D 2S QD ,    High Card
6C 3H 10C 3S JC KH AS ,    Pair
8H 9C 2H 4C JD 8S JH ,    High Card
QC 8D 5S 5H 3C 7H AD ,    Pair
3C 5S 7H 2C 3D 10D 9C ,    High Card
3H 4S 4D 9S JC 5H 8S ,    Pair
QD 8C 5C 6C 2S KH QC ,    High Card
KS 10H JD QH 9D 3S 6H ,    High Card
9D 4C 7S QC 2C JH 5H ,    High Card
10C 9S 8D 10D 6S JD 9H ,    High Card
6D 8H 2S 7H 8C 4H 6H ,    High Card
9S JC 5S 3S KC QD 6D ,    High Card
3C 6S 4H 4D 10S 3D JS ,    Pair
7D 8S 10D 4C KS 6H 10C ,    High Card
9D QH JD 8D 9H 7H 2D ,    High Card
7H AH QS QC KC 4H 8C ,    Pair
4C 7D 8D 6C AC KD 9H ,    High Card
5D 7S 3S 2S 10S 6S AS ,    High Card
9D 7S JS 4D 9H 6C 5D ,    High Card
9S KS 8D AD 4C JH 3D ,    High Card
5C 6D 10S AC AS 2C QC ,    Pair
10D 4H 2D 5S 6H 2H QH ,    High Card
7H JS AS JD 8H 10C 3D ,    High Card
KS AC KH 7C 5H 3C KC ,    Pair
10S AD 5D 9C 8C AH 5C ,    High Card
8D 2S 6S 2H 3H 2C AH ,    High Card
5D 7D 6S 4D 10D KH 4C ,    High Card
5C 9C KD JS 7H KC 6D ,    High Card
2D 7S 6H AD JD QD 9S ,    High Card
3H 10H 5S 7C 2H 6C 8C ,    High Card
7H QD JH 5C JC 3D 2C ,    High Card
QH 4H 5H 6C 2H 4D 4C ,    High Card
5D 8C 5S 10C 6D 8H 7D ,    Pair
KC 8D 4C 8C AH 5H 9D ,    High Card
3H 10H 4H 8H QH QD 2D ,    Pair
7H AD 10D 2S 3D 2H 6S ,    High Card
9S JH AS 10S 7D 7C JC ,    Pair
AS JC 3H 3D 2S 8C 8H ,    Two Pair
KC 10C 10D 5C JS 6H KS ,    High Card
4C 10S 8S 7C 3C 7D QH ,    High Card
3H QS KH QC 8H 4C 9H ,    High Card
4S QD 9C 10D 10C 8D 2S ,    High Card
3S 6C 7S 5H 4H 9D 6S ,    Straight
5D 5S 8C 5C 7D AC 4D ,    Pair
QD 2C 4C 5C AC QC 7H ,    Flush
6S 6C 9C 8H 3H 10C 8D ,    Pair
9D 7C 3C 6D AD 8S 4H ,    High Card
5H 9S QD KH 2H AH 6D ,    High Card
10S 9H KD KS JD 9C 3C ,    Pair
7S 5C 4D 10H AD KC 7C ,    High Card
QH 4S 5S JC 6C JS 8C ,    High Card
9C 10S 10C 8H AS KD KC ,    High Card
2H 7C 10D 3C 7S JC KH ,    High Card
JH 10H 9H QS 2S 5H 8C ,    High Card
QS 10C 10D 4S JH 8H AC ,    High Card
7C 4C 5D JC AS KD 2H ,    High Card
5S 7S 6S KH 3D 2C 7H ,    High Card
10S 3H QC 4D 8S 9H 5C ,    High Card
QC 6S 3S 10C 3D 9C QD ,    Pair
AS 4D QH AC 4S 9H KS ,    High Card
7S KC JC JD 10S KH 4C ,    Pair
8H 3C AH AD 7D 7S KH ,    Two Pair
QC QD 10D AS JS 10S 2H ,    Pair
6D KC 4C 2S 8C 3H 6S ,    High Card
3S 6C KD QS QH 6H JH ,    Pair
AH 4S 5D QH 4D AS 10C ,    High Card
JH 8H KS 10S KH AD 3H ,    Pair
4C KD 5C 7H 7C KC JS ,    Pair
JS 10S 3D 8S 3S JC 4D ,    High Card
3C QS KS 8C 5C JH 7H ,    High Card
AC QD 9S KH 4C 8H 6C ,    High Card
AD 9H 10H 2C 5D AS KC ,    High Card
10C KC 9S 5D 7H 3D 10S ,    High Card
6S KD 2S 5C QS 3S 6C ,    High Card
4S 9C AH 5H 7D AS JS ,    High Card
9S 7S 5H AD QC 6C QD ,    High Card
5H 3D 2S 8C AH 10C QC ,    High Card
AS 8H 7S 5D 2D 7H 2C ,    High Card
JS AD 2H 6D 7C 5C 10S ,    High Card
3C 6S KH 9D 9C AC 8D ,    Pair
QC JH AD JC 8D 9H QH ,    High Card
7H 5D 10H 2D 7D 5H AC ,    High Card
6S JD KC AH JS 5C 6H ,    High Card
2H 9D 8D 9C 2S AC AD ,    High Card
QC KC QH QD 5H 2D 3D ,    Pair
6D 7H 6S 8C 5D 10C 9H ,    Straight
7C KD 8S 2C 5S 4H AS ,    High Card
10C JS 8D 7D 6D 5C AH ,    High Card
4D 7H 8H 7S 2S 4S 8C ,    High Card
KC 10S KS 5H 6H QD QH ,    Two Pair
4S AS 9S KH 8C 3D KC ,    High Card
QC QS 5D KD 9C 9H QD ,    Two Pair
10D 10C 2H 7S 6C AC JC ,    High Card
8D 3S 6H 7H 5C AH 6S ,    High Card
8D 3D 6H 4D 2D 5D 7C ,    Straight
QD 7S 10D 6S AH 6D KH ,    High Card
QC 9S JD 5C 9D 4H 7D ,    High Card
QS 5S 3C 7S JS JH 5D ,    Pair
KH 9D 2C 2D 5C 10C 8D ,    Pair
JD 10H 7C KS 4D 9H AC ,    High Card
3D 9C 3S 3H QH 10D AS ,    Pair
3D 5C 4D KS 10H QC 5D ,    High Card
6H AH KH 5S 3C 3H 7D ,    Pair
8D JS 9D 4C 6S 9H 4S ,    High Card
5S 8C 2H KC 3H 9C 6S ,    High Card
7C 10H 6D JS 10S AC 4C ,    High Card
2D 3S 5D 10C 2C 9D 8S ,    High Card
KS 8H KD 2S 5C 8D 7H ,    Pair
9C 3D 6C JH KH 4D 7D ,    High Card
KC 10S 7S 8H 10D QD JC ,    High Card
9D 5D 3C 5S AC 8S JS ,    High Card
JC JH 7C AD 4H 4D KD ,    Two Pair
5D 10D 7S 6H JD 9C 9H ,    High Card
KH 5C 10S 2D 7H 3D 3C ,    High Card
4S 7D JS 2H 10C KS 5H ,    High Card
2C 4C KH 4H 3D 10C 10S ,    High Card
5S 2S 9D JC 7H 8H 5C ,    High Card
8D AS 6C 7S KD AD 3H ,    High Card
AC 8H 6S JC JH 3S KD ,    Pair
4D 6D 9D KS KH 7H 8S ,    Pair
7D QC 10C 2H 8D 6C 10S ,    High Card
AS 9H 8C 9S 5D 5C 4S ,    Pair
9C 9H KH 3S AS 5S 10C ,    Pair
9S 9D AC 3D 6S 6C QS ,    Two Pair
10S 8S 10D 3C 4D KS JS ,    High Card
4D QH 5H QS 2C 5S 3H ,    High Card
KD 9H 3C QS 8S 6S QC ,    High Card
9C 8H 2H AH 6H JS QD ,    High Card
9S 5D 10H 2S 6D 9D 2C ,    High Card
8C 2D 7S QH 7C 10S JH ,    High Card
10H 4C 7S JH KD JD 8S ,    High Card
3S 2H AS QH 6D 2C 4H ,    High Card
8D KH 2D QC 4D 9C 8C ,    High Card
QS 7H KC 4C KD 2D 9H ,    High Card
AH 7C 9D 9C JH QC JD ,    Pair
8D 7D 4S 10D 8C 2S 6H ,    High Card
5S 8S 3C 8H 3S 5H 10H ,    High Card
8S KD 2C 3H 2S 6D 9H ,    High Card
10H JD 10S 4H 7D 6S 9C ,    High Card
KH QD 8D 3C AS AC 2H ,    Pair
AD 6H 8H QS 6D 9S AH ,    High Card
3D 9D JH 4C 7H 8S QH ,    High Card
10S 2C 6S KH 10D 4H 6C ,    High Card
4D 8C KS KD 5D 7D QC ,    Pair
4H 2S 4C AS 9S 10H 9C ,    Two Pair
5C 7H 9D 10D KD QD KC ,    High Card
JH 8C 8H 6D JD JC QH ,    Two Pair
5H 4C 7H QD 6H 3D 2C ,    Straight
9C 6D JD 4D AS QH 10D ,    High Card
2D 8S 7C 2H AC KC 4S ,    High Card
JH 3S AH 10S 5D 2S 3C ,    High Card
10C 2H KH AH AD 5H 3H ,    Pair
JH 3C 9D 3S 9C 7S 10H ,    High Card
AC 9S QD 6S JD 8D 7H ,    High Card
7S 2H 10H AC 4C 10C 5C ,    High Card
8D 6C 7H 7D 8H 4D 5D ,    Straight
3H 3C 5H 5S KH 10D AH ,    Two Pair
7C KS 9H KD 2D 6S QH ,    High Card
3H 2D QS 9H KS 8D 4C ,    High Card
3S 3C 2S 5C JC KC 6S ,    Pair
QD 2C 7C AS QC 7H 6D ,    High Card
3C KD 4C QH QS QD AS ,    Pair
KH 7D 9H 3S 9S 2H 10H ,    High Card
AH QC 6H 2S KC 10S 6S ,    High Card
3H 4D JC 2D 8C 4S 5H ,    High Card
5C AD 4H KH 3D 10S 7S ,    High Card
QD KS 7C 6D 9D 2H QH ,    High Card
8S 4C 10H JS 6C 9C 10C ,    High Card
3S 9C 10S 9S 3C QH 2H ,    Pair
5C 7C 2D 4D KC 7H 6C ,    High Card
QD 10D AS 3D 6H KH JC ,    High Card
QC 8C 9H 5H 4H 2S AC ,    High Card
9D 3D QH JH 9S 2D QS ,    High Card
10C 2C 4D AH JD QC 6H ,    High Card
KH KD AC 6D 8D 7H 9H ,    Pair
KS JS 2S 8H 7C KD 8D ,    High Card
JS QH JD 6H 2D 4S 3D ,    Pair
JC 2S KC QD 7H 9H 5S ,    High Card
5H QS AH 2C AD 6D KS ,    High Card
4H 10D 7D 4D 9S 3H 8S ,    High Card
QD JC 8H 5H 10C AC AS ,    High Card
6C 3D 10D 7S 4C AD 6S ,    High Card
4D 3H AH 3S 2H 7H QH ,    High Card
7C 4D QH 5C 7S 6S JH ,    High Card
JS QD 9H QC 10C 3H 2H ,    High Card
JC 9D JD 10H 2S QS 8H ,    Pair
7D 3S 5S KD 9S 4C 6C ,    Straight
5D AD QD 3H 2C AC 10D ,    High Card
JH 3S 2S KH 2H 7H 4D ,    High Card
8S 6S AS 7S JD 7C KS ,    Flush
9H 10D 10S 5C 3C AC AS ,    High Card
6S 2D 6C 3H 9D KH 10C ,    Pair
6D QD 10H 5D 3S JH 5S ,    High Card
8H KC 2H 8S 4D 9C QH ,    High Card
4D 4C 9C QS 4S 3C 7H ,    Pair
10C JD 3S 5C 4H 10D 3H ,    High Card
AC 7C 9S 6D QD 6S 10S ,    High Card
6H KS 10H 10D 5D QS 2S ,    High Card
KC QC 9H 2H 10S JD 4S ,    High Card
3C JC QH 7S 9C 10C AH ,    High Card
5C 6S AC 3H AS 3S 2D ,    High Card
JS 2D 2S 9H 8D 7C 9S ,    Pair
9D 4C JD 3S 6C 3D 7S ,    High Card
QD QH 4S 10H 2C KS KH ,    Two Pair
5H 7S 7C KS 4D QH 4C ,    Pair
10D AC JH 3D 3H 8C 4S ,    Pair
2H 6D AS 3C 9D JD QS ,    High Card
QD KH KC 2S 10C 5C JC ,    Pair
5S 5H 2H 7S QS 9S 4D ,    Pair
2C QD 10D 9C JC JS 4H ,    Pair
6C 8D AC 7H 10C KC 4S ,    High Card
KH AH 3C 7D 6C 4H 5D ,    High Card
10D 3S JC KS QD 9S 4C ,    High Card
2S QC 8H AC 6S 3H 2D ,    High Card
9C 5C 8S 6H 4S 9D JH ,    High Card
KD 4H 6D JD 7S JC 3H ,    High Card
4S QD 7C 6S 4D QH 9D ,    High Card
6C 8C 9S 5S 8S QC 5H ,    High Card
QD 7D QS 5C 6C 4D AS ,    Pair
QC KH KS 3H 6D 3C 4C ,    Pair
7H 9D AD 4H 9C 8H JC ,    High Card
QH 5H AC 2D KD 8S 10D ,    High Card
10D AH 7S KD 3C 2C 6C ,    High Card
AS JH 4H 4S 6H 10H QH ,    Pair
7H 8S 8D AC 3S 3D 5S ,    Two Pair
4H 3D JH 5H 10D 9S 6H ,    High Card
AD QS KS 5S JH 7C 9S ,    High Card
2H 7D AC 4H 5H 3D AH ,    High Card
8H 9H 4C 10D KC 5D 2C ,    High Card
10H 10S 6H 9C AS 10C 8D ,    High Card
7H KC 8C JC 10H 7D JH ,    High Card
7C 5S 10C 5D 2S 2C 4S ,    Two Pair
5C 10D KH 7S QC AC 6S ,    High Card
QH 4H 3H 9D 2S 8D 9C ,    High Card
7H 2C AH 7S 10D 10C QS ,    High Card
KS 6D KC AD 8C 9H 4S ,    Pair
4D 6H KH QD JH AS 10S ,    High Card
7H 8C 4D 3D KD 4H 2H ,    High Card
8S AC 7C 3H AS QD 6H ,    High Card
4S 7S QC 6D 3S JS AD ,    High Card
JS 3H 8H 3S JH 5D 4D ,    High Card
4H 9D 9H 9C 6C 3D JC ,    Pair
4C AC 8D 10D 5S AD 10H ,    High Card
KD 2H 4S KH 2D 6D 5C ,    High Card
JC 10H KH KS 9S 2C QH ,    Pair
4H AC 10S 6C 8S QD JH ,    High Card
8D 5S 5D 2H 6S 4S 3D ,    Straight
2S 6D 9H 10C QD KH 4H ,    High Card
AS KD 10S 6H KS JC 7S ,    High Card
4D 7H JS 2C 3H AD 10H ,    High Card
3D 8H 6C 9S 10D 5S QS ,    High Card
QC 9H 9D 4C 7H 6H JH ,    Pair
9C AD 3D 3H 2H 7C QS ,    Pair
5C JC 4H 7D 5H 5S KC ,    Pair
2S QC 5H 10D 9C KD 6S ,    High Card
8H 10C 8C 9H 3S QH 9S ,    Pair
2C 5S 7C 4D AS 6D 6H ,    High Card
3D 4H AH KC KH 10H 5D ,    Pair
KS 10D 5C JC JH 6H 5D ,    Pair
9S QC AD 2S 8H 6D 7H ,    High Card
10S 7C 9D 4D 10H JD 9H ,    High Card
QD 9S 2S JH 10H 5D 4C ,    High Card
10C AS 5H 8H 4S JC JS ,    High Card
7C AD 9C KS 3H QC 9H ,    High Card
KH 4H 8S 8D 3S 5S 3C ,    Pair
9S 3H 8H 10H QS 5C 10S ,    High Card
6D AS 5D 6H 9H 3D 8C ,    High Card
3C KC JS JD 3S 9D QH ,    Pair
5D 4H 4C 5H 6C KD QS ,    Pair
2H JC AH 9C 10H 9S AC ,    Pair
8D QD QC 9H 6H 10C 3C ,    Pair
JS 7H 8H 2C 6S KH JH ,    High Card
AD JS 3D 6C 4C 3H 9S ,    High Card
AS QC AC QS 5D 6H 5H ,    Pair
10D 4D JD 10H 6S 8H 7C ,    High Card
8D 10C 2D 9S KD 4S 4D ,    High Card
9H 9S 2H AD 7D 10C JS ,    Pair
JD QH 4S KS AS JH 7C ,    High Card
5C AH 8H AC 6H 8C 4D ,    High Card
QC 4H JC 6C 8S 2S 10S ,    High Card
KH 5H 5C AH QC 7S 6D ,    Pair
3H 4D QH QD 7H AS 8S ,    Pair
8C 7C 6H 10H 2C AD 9H ,    High Card
KS 7D 3H 4C 7S 9H JC ,    High Card
QD JH QH AD 5H 6H AC ,    Pair
4S 7C 8C 10D 6D 9C QS ,    High Card
10H 3C 3S 4D 5C KC 6C ,    Pair
AS 9H 2D QS 2H 7C 7H ,    High Card
KH 10S 5D 9C QH 8C 7D ,    High Card
6H AD 10C AC 10H KD 9D ,    Pair
5D QS JD 3D 7H 5C 9H ,    High Card
7D 8S 10H 8C 2D 5S 6D ,    Pair
10D 9D 2S 6S 6H QC 7S ,    Pair
8D 4S 5H 3S AH 9S KC ,    High Card
2D 5C 7S 7C 2H JC JH ,    Two Pair
10S 7H 3H QD 9D 7D 9S ,    High Card
AC 4D KC 9H AH KS 10D ,    High Card
KD 9S 2S KC 2C 9H 5C ,    High Card
6D 10D 9C 5S 4C 10S KH ,    High Card
7D 4H JH 6C 10C JS QH ,    High Card
6S 8S 6H 3C 3D 7S 4S ,    Two Pair
6D 3S 4S 7C 4D 8S QD ,    High Card
5H 9C 7S JS 4C 3H 5C ,    High Card
6C JH 2D KH 10H 9H 5S ,    High Card
QH JD 6H 4H 5S QC 3S ,    High Card
9H 10S 3D 7C JH 5H KS ,    High Card
2H 10H AH KC 8D QS QD ,    High Card
2C 9S 2D AC KH 4C 2S ,    Pair
4S AD 7S KS 9H KH 9C ,    High Card
10D AS 10H 3D 4D 6D KD ,    High Card
8D 6H 2H 2C 5D 10C 4C ,    Pair
JC 3H 10H JS 3D JH 7D ,    Pair
2S 9D 4C 10S QC 9C 8C ,    High Card
6S KS 8D JD 4S 2D QD ,    High Card
AS 5C 8H AH 4D 5D AC ,    High Card
JH 5H 8S 10C 10H 9C AH ,    High Card
KS 8C QC 7D 3D 3C QD ,    Pair
8D AC AD 5D 4D 3S 7C ,    Pair
10C 6S 4C QD AD KC KD ,    High Card
9D 4H 8D JC 4S 2S 6H ,    High Card
10D QS 7C 8S 9C 10S 7S ,    High Card
AH 9H 8C JH 3C AC AS ,    High Card
4H 2D JH 3D AD KD 4C ,    High Card
QH 3S 8H 7D 8S 5D JS ,    High Card
7H QS AC 6H 7C 5H 3C ,    High Card
9S 10D 3D 7C 4S 5D AD ,    High Card
5S 3D 4C 10H 9H JD 8C ,    High Card
9C 5D 6D AS QC 4H KS ,    High Card
2D 7H 3H QS AC 4S 6C ,    High Card
JS 3S 4D QD 7S 8D AD ,    High Card
7D 10S 4H JS 7H KD 6D ,    High Card
AH 8S 10C QC 3S 5S JD ,    High Card
AD 9H 5C JC JH 3C 7C ,    Pair
5C 2C QC 6C AC 5D 4S ,    Flush
7H AD 6S QH 3H 8H 9D ,    High Card
8C QS 2D JS 6D 9C JD ,    High Card
7C 7S 4C 3S 3D 10H JC ,    Two Pair
3C 3D 7H JD 5H 6C 9H ,    Pair
6H 7S AH KS 3S JC 5S ,    High Card
8S 7C 6D 5C 10S 2D KH ,    High Card
4S 2C 4H 2S JD 6D AH ,    Pair
9H QH QD KS QC 7S KC ,    Pair
7H 4C 9D 2H 9C QS 5D ,    High Card
5C KH 8C 4D 6S 10D 8S ,    High Card
6H 6C AC 8C 5D 4D 7D ,    Straight
4S 9D JD KS QH 9S JH ,    High Card
2C 6D 8D 7S AH JS 3D ,    High Card
6C 2H 6S 6D 8C 2D 3D ,    Pair
QS QC 2S 8H AH KH JD ,    Pair
KC 10H 7C 9H 5S 6H 4C ,    High Card
JC 5H 9C QH AD 8S 7D ,    High Card
JS 5C 8S 7S JH 4H KH ,    High Card
6D 6H KS 10D 9C 9D 10H ,    Two Pair
3S 4D 8C QS 4C 6S QH ,    High Card
5D 6D 9D QC AS QS QD ,    High Card
KS 4C JS 4S 2C 3H 7S ,    High Card
2H 8D 10D 10H 5S JD 5C ,    High Card
6C KH 8C AH AC 8H 2S ,    Pair
8H AD 4D AH 10S QC 5C ,    High Card
7D 6H 9S 7H KC 10H JC ,    High Card
6S AS 6D 10C 3D JS 8C ,    Pair
KS 9S 2C 5C 6H 3D 6D ,    High Card
2H 2D 9H 4S QH JH 10S ,    Pair
10C 9C 8H 8D JS 3H 2S ,    Pair
5S 10D 8S JD KH 6S 5D ,    High Card
2D AD 3S 5S 9D QC 7S ,    High Card
QD 9H 9S 7H QH JC 10D ,    Pair
8C 8H KH JD JH 2H KD ,    Two Pair
KS 9S 3H 6C 5C 6S 5H ,    High Card
9C 5D 4D 7H 2S 4H 2D ,    High Card
AS JH 3S 8C 10S KC 8S ,    High Card
QC AC 4C 10C 2H 3C 4S ,    High Card
2H 10H 8H AD JS AH 9S ,    High Card
7C 3H AS 2S 10D 3D 6D ,    High Card
8C JC 8S 2C 3C 4H KC ,    Pair
AC QC 4C KS 9D 3C 3S ,    High Card
6C 4D 8S 8C 9S 10D 7S ,    Pair
3S KH AC 8H 2H 6S 5D ,    High Card
QS 5C 3C QH 3D 4S 3H ,    High Card
4H 9D JS 7C QD JH 8D ,    High Card
2D 9C KH 9D 3D 2S 7S ,    High Card
8D 4C 2C 4S JS 3C 6D ,    High Card
10D 3S 7C 10S 2H AD AS ,    High Card
10S 3D 8S 2D 7S 4H 6C ,    High Card
2S JD 9C 5S QD 4S 8H ,    High Card
3C 5H 9S QC 5D 9D 10H ,    High Card
9H 10C JH 8D 3H JS 5C ,    High Card
9S 2S 5S 5C JC 3H 6H ,    Pair
4S 6D 9C 5H 4D JH KH ,    High Card
AC 10S KS 8C 3S KD 7C ,    High Card
KS 6C 10S 3H AH QC JS ,    High Card
KH 4C 5S 2S 2H 3S QH ,    Pair
2D 9S 8H 5H KD 2C 9H ,    High Card
8S 7H 8C 3C 4H 7D 6D ,    Pair
AS 5C QC 3S 4D 9H QS ,    High Card
QH QD 7C 4H KD 5H AD ,    Pair
8S KS AC 4S 2D 8H JC ,    High Card
4S KS 9D 6C QC 9C JD ,    High Card
6S 4H 5C 10D 10C 2H 10H ,    High Card
6H AD 8S KD 2D 2S 5D ,    Pair
JH QH AH 7C 10S 9S QD ,    High Card
3D 8H 5S 10H 7C QH 9S ,    High Card
KC 7D 3C 5C 2S 9H JS ,    High Card
6H 2C JH 9D 4H 4D 3S ,    Pair
9D 6C 8H 10C 10S QH 7S ,    High Card
2S KD KC 3D JH 10H 4C ,    Pair
KS 9H 8D 4H 9C 7D 8S ,    High Card
5C 6H QS 2D 9S AC 7C ,    High Card
3C QC 10D 4H 4S AC 8S ,    Pair
2S 2H 9C KH 3H 2C JH ,    Pair
QD 7S JD 3S 6H 8C 10C ,    High Card
8D QD JC 8C 6D 3D 2S ,    High Card
2D 9S AH 4D KD 6S 7H ,    High Card
10H 10S KS AS 4C 10C 5S ,    High Card
5C 4H 5D 3S 7D 9C JD ,    Pair
9C QS 4S 8H 6D 5S 2D ,    High Card
2C 3D JH 2H JC 9H KC ,    High Card
10D 8C AH JD KD 6S 10S ,    High Card
4H KS AD 8D QD 5C 9D ,    High Card
10H 5S 7H KD JC 2C AS ,    High Card
QS 6D 6H 9S 4C 9C 8S ,    Pair
10D 2H 6S 5H JH AC 3D ,    High Card
JH 9C QS 8H 10S AS 9D ,    High Card
KH 5S 2S 6S 7H 10C AC ,    High Card
7S 3C KC 7C 2D 3H 10D ,    High Card
4H 9C 7S 3C 6D JC AH ,    High Card
5S 6C 5H AS 3H JC 6S ,    Pair
2C 10H 7D 8C QH QS 6D ,    Pair
QD 8S 6H 4C AH 9S JS ,    High Card
QC AC JD 7C 10D 2H JH ,    High Card
4S 9C 8D 5H 2D 9H 4H ,    High Card
KD 9D 10D 4D 9S 2C 7C ,    High Card
KS 4C JH 2H 7D 5S KH ,    High Card
QS 10S JD 4H 6H 2D AS ,    High Card
5D 3D 3C 6C QH KH 4C ,    Pair
KC JH 7S 5H JC AH 9C ,    High Card
5C 9S 8C QD AC 7H KS ,    High Card
5H 3S 7D 7H 8S 7S 6D ,    Pair
QD 3C 2D AH 4C 8H AS ,    High Card
2C AD 9C 5D AC 9S KH ,    High Card
QD 4C JC 9D 7D JD QC ,    High Card
6C 8H 5S 4D 8C 2C KH ,    High Card
10S JS 7C 10C 2S QS 4S ,    High Card
6S AS 3C 10D 9H 7S 3D ,    High Card
8H 2S JH 3C 5D 6S 6D ,    High Card
KC 9D 8D 10C 6H 4C 3D ,    High Card
7D KH JC QC 2H 10D 2D ,    Pair
4H 4D 8C 4S QH 3C 5D ,    Pair
3H QD JH 3S 7S 9S AD ,    High Card
10H 7D JS 2H 10D 5S QC ,    High Card
9C AH 2C AC 10C 2D KD ,    High Card
6C JS 10D KC 4C 5C 8D ,    High Card
JC 4H 10S 4S 7H AC 3D ,    Pair
8C 2S KS 5H AD 8H AH ,    High Card
AS 3H 8C 6D 9D JC 6H ,    High Card
3C 2D AC 5H 9C 10C QH ,    High Card
2H KD AH 4D 5D 8H 2C ,    High Card
7H JS KS AD 9S JD 3D ,    High Card
AS AD 7H JD JC 3C 7D ,    Two Pair
6H 4D 5H 9H 6D 8H 6C ,    High Card
4H 9C 3H 10C KC 8C KS ,    High Card
4D JH 8D 9D 4C 6C 7C ,    High Card
KC 10H JS 6D 9H 8C QS ,    High Card
JD AD 4S 7H 7D 4H 9C ,    Pair
JC 8S 2C QD 8H QC 5S ,    High Card
10H JD 4S 6C KD 5H 7C ,    High Card
8S 2S 7H 8C 4C 3S QH ,    High Card
6H 5S 4H 2C 7S KC 8D ,    Straight
QD 4C 3C JH 3D 7S 4S ,    High Card
6C 8S 5D 7H 9H 10D KS ,    Straight
7C QS JS 2C 9D 4D 10H ,    High Card
AS KH QH 10S JD 4H 6H ,    High Card
AH KD JD 6C KS 8C 2D ,    High Card
3S 4S 4D AC 4H 2S 6H ,    Pair
QC 4C 6S 9H 7H 7D 5H ,    Pair
2S 8D 4H 3D KD 5C KC ,    High Card
QH QD 9S KS 5D 2C 8C ,    Pair
7S QC 3C 7H 8S 10D 8H ,    Pair
4D 10C AS 4C AH 9C 3S ,    High Card
AD JH 6C QS 6D JS KC ,    High Card
KD 10D 7C JC 7H 6C 6H ,    High Card
3H 4C 5C 2D 6S 9D KH ,    Straight
4S 9C 5H JH KC 5D 9S ,    High Card
JC QS 10H 8C QD 3D 9H ,    High Card
6D 6H QH 5S KD 10C QC ,    Pair
3S KC JH 2D 9S JD 4S ,    High Card
2C 3C 8S 7H 8H 4D 4H ,    High Card
7D 5D AH QH 3C AS 5H ,    High Card
8C 4C JH 2H 5S 9H KC ,    High Card
8H 3D 7S 9C AC JC 7C ,    High Card
8C 10C 2H 7C KD QS 7S ,    High Card
10S 3D 7D 6D 2C 5C AH ,    High Card
